,id,category_id,property_type_id
0,1,1,1
1,2,1,2
2,3,1,3
3,4,1,4
4,5,1,3
5,6,2,1
6,7,2,2
7,8,2,3
8,9,2,4
9,10,2,3
10,11,3,1
11,12,3,2
12,13,3,3
13,14,3,4
14,15,3,2
15,16,4,1
16,17,4,2
17,18,4,3
18,19,4,4
19,20,4,1
20,21,5,1
21,22,5,2
22,23,5,3
23,24,5,4
24,25,5,4
25,26,6,1
26,27,6,2
27,28,6,3
28,29,6,4
29,30,6,1
30,31,7,1
31,32,7,2
32,33,7,3
33,34,7,4
34,35,7,1
35,36,8,1
36,37,8,2
37,38,8,3
38,39,8,4
39,40,8,3
40,41,9,1
41,42,9,2
42,43,9,3
43,44,9,4
44,45,9,3
45,46,10,1
46,47,10,2
47,48,10,3
48,49,10,4
49,50,10,4
50,51,11,1
51,52,11,2
52,53,11,3
53,54,11,4
54,55,11,1
55,56,12,1
56,57,12,2
57,58,12,3
58,59,12,4
59,60,12,3
60,61,13,1
61,62,13,2
62,63,13,3
63,64,13,4
64,65,13,2
65,66,14,1
66,67,14,2
67,68,14,3
68,69,14,4
69,70,14,2
70,71,15,1
71,72,15,2
72,73,15,3
73,74,15,4
74,75,15,1
75,76,16,1
76,77,16,2
77,78,16,3
78,79,16,4
79,80,16,4
80,81,17,1
81,82,17,2
82,83,17,3
83,84,17,4
84,85,17,2
85,86,18,1
86,87,18,2
87,88,18,3
88,89,18,4
89,90,18,2
90,91,19,1
91,92,19,2
92,93,19,3
93,94,19,4
94,95,19,2
95,96,20,1
96,97,20,2
97,98,20,3
98,99,20,4
99,100,20,2
100,101,21,1
101,102,21,2
102,103,21,3
103,104,21,4
104,105,21,4
105,106,22,1
106,107,22,2
107,108,22,3
108,109,22,4
109,110,22,2
110,111,23,1
111,112,23,2
112,113,23,3
113,114,23,4
114,115,23,2
115,116,24,1
116,117,24,2
117,118,24,3
118,119,24,4
119,120,24,2
120,121,25,1
121,122,25,2
122,123,25,3
123,124,25,4
124,125,25,2
125,126,26,1
126,127,26,2
127,128,26,3
128,129,26,4
129,130,26,2
130,131,27,1
131,132,27,2
132,133,27,3
133,134,27,4
134,135,27,2
135,136,28,1
136,137,28,2
137,138,28,3
138,139,28,4
139,140,28,3
140,141,29,1
141,142,29,2
142,143,29,3
143,144,29,4
144,145,29,1
145,146,30,1
146,147,30,2
147,148,30,3
148,149,30,4
149,150,30,3
150,151,31,1
151,152,31,2
152,153,31,3
153,154,31,4
154,155,31,4
155,156,32,1
156,157,32,2
157,158,32,3
158,159,32,4
159,160,32,3
160,161,33,1
161,162,33,2
162,163,33,3
163,164,33,4
164,165,33,1
165,166,34,1
166,167,34,2
167,168,34,3
168,169,34,4
169,170,34,3
170,171,35,1
171,172,35,2
172,173,35,3
173,174,35,4
174,175,35,2
175,176,36,1
176,177,36,2
177,178,36,3
178,179,36,4
179,180,36,3
180,181,37,1
181,182,37,2
182,183,37,3
183,184,37,4
184,185,37,4
185,186,38,1
186,187,38,2
187,188,38,3
188,189,38,4
189,190,38,2
