id,name
1,Nike
2,Adidas
3,Zara
4,H&M
5,Forever 21
6,Gap
7,Levi's
8,Under Armour
9,Puma
10,Calvin Klein
11,Tommy Hilfiger
12,ASOS
13,Reebok
14,New Balance
15,Converse
16,Vans
17,Balenciaga
18,Gucci
19,Prada
20,Louis Vuitton
21,Chanel
22,Yves Saint Laurent
23,Fendi
24,Dior
25,Versace
26,Burberry
27,Coach
28,Marc Jacobs
29,Michael Kors
30,Ralph Lauren
31,Guess
32,Abercrombie & Fitch
33,American Eagle Outfitters
34,Lululemon Athletica
35,Victoria's Secret
36,Forever New
37,Topshop
38,Uniqlo
39,Supreme
40,Hollister Co.
41,Steve Madden
42,Dr. Martens
43,Timberland
44,Columbia
45,Patagonia
46,North Face
47,Wrangler
48,Carhartt
49,Dickies
50,Fila
