"id","category_id","property_type_id"
1,1,1
2,1,2
3,1,3
4,2,2
5,2,3
6,3,1
7,3,4
8,4,1
9,4,2
10,4,3
11,4,4
12,5,1
13,6,2
14,6,4
15,7,1
16,7,2
17,7,3
18,7,4
19,8,2
20,9,1
21,10,1
22,11,3
23,12,1
24,12,2
25,13,4
26,14,2
27,14,3
28,15,2
29,16,1
30,16,4
31,17,2
32,17,3
33,18,1
34,18,2
35,18,3
36,18,4
37,19,1
38,19,3
39,20,1
40,21,3
41,22,4
42,23,1
43,24,1
44,25,2
45,26,1
46,27,4
47,28,1
48,29,1
49,29,2
50,30,4
51,31,2
52,32,1
53,33,3
54,34,3
55,35,4
56,36,3
57,37,1
58,37,4
59,38,1
60,38,3
61,38,4
62,39,1
63,39,2
64,40,3
65,40,4
66,41,1
67,41,2
68,41,3
69,41,4
70,42,1
71,42,2
72,43,1
73,43,3
74,43,4
75,44,1
76,45,2
77,46,1
78,46,4
79,47,2
80,47,3
81,48,1
82,48,3
83,49,2
84,49,4
85,50,1
86,50,2
87,51,4
88,52,1
89,52,3
90,53,1
91,53,2
92,53,4
93,54,1
94,54,3
95,54,4
96,55,1
97,55,2
98,56,2
99,56,3
100,56,4
101,57,1
102,57,2
103,57,4
104,58,1
105,58,3
106,58,4
