"id","category_id","variation_type_id"
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,2,1
7,2,2
8,3,1
9,3,2
10,4,1
11,4,2
12,5,1
13,5,2
14,6,1
15,6,2
16,7,1
17,7,2
18,8,1
19,8,2
20,9,1
21,9,2
22,10,1
23,10,2
24,11,1
25,11,2
26,12,1
27,12,2
28,13,1
29,13,2
30,14,1
31,14,3
32,15,1
33,15,3
34,16,1
35,16,3
36,17,1
37,17,3
38,18,1
39,18,3
40,19,1
41,19,3
42,20,1
43,20,3
44,21,1
45,21,3
46,22,1
47,22,3
48,23,1
49,23,3
50,24,1
51,24,3
52,25,1
53,25,4
54,25,5
55,26,1
56,26,5
57,27,1
58,27,5
59,28,1
60,28,5
61,29,1
62,29,5
63,30,1
64,30,5
65,31,1
66,31,5
67,32,1
68,32,5
69,33,1
70,33,5
71,34,1
72,34,5
73,35,1
74,35,5
75,36,1
76,36,5
77,37,1
78,37,5
79,38,1
80,38,5
81,39,1
82,39,5
83,40,1
84,40,5
85,41,1
86,41,5
87,42,1
88,42,5
89,43,1
90,43,5
91,44,1
92,44,5
93,45,1
94,45,5
95,46,1
96,46,5
97,47,1
98,47,4
99,48,1
100,48,4
101,49,1
102,49,4
103,50,1
104,50,4
105,51,1
106,51,4
107,52,1
108,52,4
109,53,1
110,53,4
111,54,1
112,54,4
113,55,1
114,55,4
115,56,1
116,56,4
117,57,1
118,57,4
119,58,1
120,58,4
