"id","category_id","property_type_id"
1,1,1
2,1,2
3,2,1
4,2,2
5,3,1
6,3,2
7,4,1
8,4,2
9,5,1
10,5,2
11,6,1
12,6,2
13,7,1
14,7,2
15,8,1
16,8,2
17,9,1
18,9,2
19,10,1
20,10,2
21,11,1
22,11,2
23,12,1
24,12,2
25,13,1
26,13,2
27,14,1
28,14,2
29,15,1
30,15,2
31,16,1
32,16,2
33,17,1
34,17,2
35,18,1
36,18,2
37,19,1
38,19,2
39,20,1
40,20,2
41,21,1
42,21,2
43,22,1
44,22,2
45,23,1
46,23,2
47,24,1
48,24,2
49,25,1
50,25,2
51,26,1
52,26,2
53,27,1
54,27,2
55,28,1
56,28,2
57,29,1
58,29,2
59,30,1
60,30,2
61,31,1
62,31,2
63,32,1
64,32,2
65,33,1
66,33,2
67,34,1
68,34,2
69,35,1
70,35,2
71,36,1
72,36,2
73,37,1
74,37,2
75,38,1
76,38,2
77,39,1
78,39,2
79,40,1
80,40,2
81,41,1
82,41,2
83,42,1
84,42,2
85,43,1
86,43,2
87,44,1
88,44,2
89,45,1
90,45,2
91,46,1
92,46,2
93,47,1
94,47,2
95,48,1
96,48,2
97,49,1
98,49,2
99,50,1
100,50,2
101,51,1
102,51,2
103,52,1
104,52,2
105,53,1
106,53,2
107,54,1
108,54,2
109,55,1
110,55,2
111,56,1
112,56,2
113,57,1
114,57,2
115,58,1
116,58,2
