"id","variation_type_id","value"
1,1,Red
2,1,Orange
3,1,Yellow
4,1,Green
5,1,Blue
6,1,Purple
7,1,Black
8,1,White
9,1,Beige
10,1,Sand
11,1,Gray
12,1,Metallic
13,1,Bronze
14,1,Indigo
15,1,Lilac
16,2,2XS
17,2,XS
18,2,S
19,2,M
20,2,L
21,2,XL
22,2,2XL
23,2,3XL
24,2,4XL
25,2,5XL
26,2,6XL
27,3,38/40
28,3,40/42
29,3,42/44
30,3,44/46
31,3,46/48
32,3,48/50
33,3,50/52
34,3,52/54
35,3,54/56
36,3,56/58
37,3,58/60
38,4,32
39,4,34
40,4,36
41,4,38
42,4,40
43,4,42
44,4,44
45,4,46
46,4,48
47,4,50
48,4,52
49,5,2XS
50,5,XS
51,5,S
52,5,M
53,5,L
54,2,XL
55,5,2XL
56,5,3XL
57,5,4XL
58,5,5XL
59,5,6XL
60,6,40/42
61,6,42/44
62,6,44/46
63,6,46/48
64,6,48/50
65,6,50/52
66,6,52/54
67,6,54/56
68,6,56/58
69,6,58/60
70,6,60/62
71,7,42
72,7,44
73,7,46
74,7,48
75,7,50
76,7,52
77,7,54
78,7,56
79,7,58
80,7,60
81,7,62
82,8,Baby
83,8,0-3
84,8,0-3
85,8,3-6
86,8,6-9
87,8,12
88,8,18
89,9,18
90,9,18
91,9,20
92,9,22
93,9,22
94,9,24
95,9,24
96,10,50
97,10,56
98,10,62
99,10,68
100,10,74
101,10,80
102,10,86
103,11,24/2Т
104,11,3Т
105,11,4Т
106,11,5
107,11,6
108,11,6x
109,11,7
110,11,7
111,11,8
112,11,10
113,11,12
114,11,14
115,12,26
116,12,26
117,12,28
118,12,28
119,12,30
120,12,30
121,12,32
122,12,32
123,12,34
124,12,36
125,12,38
126,12,40
127,12,92
128,12,98
129,12,104
130,12,110
131,12,116
132,12,122
133,12,128
134,12,134
135,12,140
136,12,146
137,12,150
138,12,152
