id,product_id,image_url,thumbnail_urls,order
1,1,https://place.dog/900/900,"{'thumbnail_48': 'https://place.dog/48/48', 'thumbnail_64': 'https://place.dog/64/64', 'thumbnail_106': 'https://picsum.photos/id/6/106/106', 'thumbnail_120': 'https://picsum.photos/id/201/120/120', 'thumbnail_220': 'https://picsum.photos/id/156/220/220'}",0
2,1,https://picsum.photos/id/37/900/900,"{'thumbnail_48': 'https://place.dog/48/48', 'thumbnail_64': 'https://picsum.photos/id/266/64/64', 'thumbnail_106': 'https://place.dog/106/106', 'thumbnail_120': 'https://picsum.photos/id/145/120/120', 'thumbnail_220': 'https://picsum.photos/id/298/220/220'}",1
3,1,https://place.dog/900/900,"{'thumbnail_48': 'https://place.dog/48/48', 'thumbnail_64': 'https://picsum.photos/id/300/64/64', 'thumbnail_106': 'https://place.dog/106/106', 'thumbnail_120': 'https://place.dog/120/120', 'thumbnail_220': 'https://picsum.photos/id/335/220/220'}",2
4,1,https://picsum.photos/id/148/900/900,"{'thumbnail_48': 'https://place.dog/48/48', 'thumbnail_64': 'https://place.dog/64/64', 'thumbnail_106': 'https://picsum.photos/id/277/106/106', 'thumbnail_120': 'https://picsum.photos/id/467/120/120', 'thumbnail_220': 'https://picsum.photos/id/46/220/220'}",3
5,1,https://place.dog/900/900,"{'thumbnail_48': 'https://picsum.photos/id/399/48/48', 'thumbnail_64': 'https://picsum.photos/id/14/64/64', 'thumbnail_106': 'https://picsum.photos/id/457/106/106', 'thumbnail_120': 'https://place.dog/120/120', 'thumbnail_220': 'https://picsum.photos/id/145/220/220'}",4
6,1,https://place.dog/900/900,"{'thumbnail_48': 'https://picsum.photos/id/284/48/48', 'thumbnail_64': 'https://picsum.photos/id/270/64/64', 'thumbnail_106': 'https://place.dog/106/106', 'thumbnail_120': 'https://place.dog/120/120', 'thumbnail_220': 'https://picsum.photos/id/285/220/220'}",5
7,1,https://picsum.photos/id/23/900/900,"{'thumbnail_48': 'https://picsum.photos/id/258/48/48', 'thumbnail_64': 'https://place.dog/64/64', 'thumbnail_106': 'https://picsum.photos/id/262/106/106', 'thumbnail_120': 'https://place.dog/120/120', 'thumbnail_220': 'https://picsum.photos/id/243/220/220'}",6
8,1,https://place.dog/900/900,"{'thumbnail_48': 'https://picsum.photos/id/471/48/48', 'thumbnail_64': 'https://place.dog/64/64', 'thumbnail_106': 'https://place.dog/106/106', 'thumbnail_120': 'https://picsum.photos/id/391/120/120', 'thumbnail_220': 'https://place.dog/220/220'}",7
9,2,https://picsum.photos/id/344/900/900,"{'thumbnail_48': 'https://place.dog/48/48', 'thumbnail_64': 'https://place.dog/64/64', 'thumbnail_106': 'https://picsum.photos/id/81/106/106', 'thumbnail_120': 'https://place.dog/120/120', 'thumbnail_220': 'https://picsum.photos/id/126/220/220'}",0
10,2,https://picsum.photos/id/389/900/900,"{'thumbnail_48': 'https://place.dog/48/48', 'thumbnail_64': 'https://place.dog/64/64', 'thumbnail_106': 'https://picsum.photos/id/364/106/106', 'thumbnail_120': 'https://place.dog/120/120', 'thumbnail_220': 'https://picsum.photos/id/130/220/220'}",1
11,2,https://picsum.photos/id/189/900/900,"{'thumbnail_48': 'https://picsum.photos/id/61/48/48', 'thumbnail_64': 'https://place.dog/64/64', 'thumbnail_106': 'https://place.dog/106/106', 'thumbnail_120': 'https://picsum.photos/id/351/120/120', 'thumbnail_220': 'https://place.dog/220/220'}",2
12,2,https://picsum.photos/id/78/900/900,"{'thumbnail_48': 'https://place.dog/48/48', 'thumbnail_64': 'https://picsum.photos/id/386/64/64', 'thumbnail_106': 'https://place.dog/106/106', 'thumbnail_120': 'https://picsum.photos/id/262/120/120', 'thumbnail_220': 'https://place.dog/220/220'}",3
13,2,https://place.dog/900/900,"{'thumbnail_48': 'https://place.dog/48/48', 'thumbnail_64': 'https://place.dog/64/64', 'thumbnail_106': 'https://place.dog/106/106', 'thumbnail_120': 'https://place.dog/120/120', 'thumbnail_220': 'https://picsum.photos/id/34/220/220'}",4
14,2,https://picsum.photos/id/468/900/900,"{'thumbnail_48': 'https://place.dog/48/48', 'thumbnail_64': 'https://picsum.photos/id/104/64/64', 'thumbnail_106': 'https://place.dog/106/106', 'thumbnail_120': 'https://picsum.photos/id/399/120/120', 'thumbnail_220': 'https://picsum.photos/id/490/220/220'}",5
15,2,https://picsum.photos/id/122/900/900,"{'thumbnail_48': 'https://picsum.photos/id/476/48/48', 'thumbnail_64': 'https://place.dog/64/64', 'thumbnail_106': 'https://picsum.photos/id/152/106/106', 'thumbnail_120': 'https://picsum.photos/id/453/120/120', 'thumbnail_220': 'https://picsum.photos/id/435/220/220'}",6
16,2,https://place.dog/900/900,"{'thumbnail_48': 'https://picsum.photos/id/34/48/48', 'thumbnail_64': 'https://place.dog/64/64', 'thumbnail_106': 'https://picsum.photos/id/415/106/106', 'thumbnail_120': 'https://picsum.photos/id/405/120/120', 'thumbnail_220': 'https://picsum.photos/id/1/220/220'}",7
