id,name,description,supplier_id,category_id,grade_average,is_active,brand_id,created_at,updated_at
1,Bank,Soon discuss magazine respond section card our really picture leave among.,191,3,2.2310806290758696,True,42,2021-06-27,2021-06-27
2,Action,Nation beautiful three they mean statement national many entire raise director particularly.,191,4,1.0795961602203303,True,46,2020-10-15,2020-10-15
3,Create head president evening,Over these require skill people audience again fact Democrat card.,191,5,2.980712179975603,True,37,2021-07-24,2021-07-24
4,Remain wish baby everyone,Available practice property major environmental raise past while do story six.,191,6,0.4474510785259095,True,10,2020-06-12,2020-06-12
5,On particularly,Single capital chair black carry physical enter go during military crime space interesting.,191,7,2.5320763544167035,True,48,2020-01-15,2020-01-15
6,Finish,Door soldier need cost somebody share choose seven.,191,7,4.167953021415332,True,40,2020-11-11,2020-11-11
7,Different major lot camera capital,Weight attack let decade anyone structure human character almost hand change wrong focus.,191,7,3.7464387456699475,True,20,2023-01-26,2023-01-26
8,Soon subject,Pretty when indeed instead fire energy.,191,7,3.458865154832294,True,17,2022-01-10,2022-01-10
9,Born,Table true how provide character hotel recently despite factor.,191,7,1.6816748467480473,True,34,2022-03-31,2022-03-31
10,Lead,Whom traditional push occur movie thank open forward light style open something.,191,7,2.431547345084206,True,40,2021-06-05,2021-06-05
11,Or near,Charge education offer baby skill wrong hour need involve president.,191,8,0.46515327538531215,True,6,2023-04-08,2023-04-08
12,Piece,Far soon authority word create discussion speech true girl.,191,8,2.4680477876779183,True,7,2022-11-17,2022-11-17
13,Everybody,Join class upon evening level tree story.,191,8,3.781457311990113,True,10,2023-01-07,2023-01-07
14,Box ability action,Born mind audience theory same story few future.,191,8,2.0038609558183413,True,33,2020-10-08,2020-10-08
15,Friend,Data soldier word need price already interview maintain tough always risk official product.,191,8,3.031211018290088,True,24,2020-01-04,2020-01-04
16,Could girl,Will staff rate claim clearly exist institution.,191,8,2.817317970883797,True,17,2023-05-02,2023-05-02
17,Start dog,Under find my parent really fact his.,191,8,4.823756609934444,True,9,2022-09-03,2022-09-03
18,Have scene threat,Generation late everything visit success try environmental television change run effort head.,191,9,4.313987199090464,True,37,2020-03-30,2020-03-30
