"id","variation_type_id","value","image_url"
1,1,Red,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/RED.png"
2,1,Orange,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/ORANGE.png"
3,1,Yellow,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/YELLOW.png"
4,1,Green,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/GREEN.png"
5,1,Blue,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/BLUE.png"
6,1,Purple,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/PURPLE.png"
7,1,Black,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/BLACK.png"
8,1,White,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/WHITE.png"
9,1,Beige,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/BEIGE.png"
10,1,Sand,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/SAND.png"
11,1,Gray,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/GRAY.png"
12,1,Metallic,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/METALLIC.png"
13,1,Bronze,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/BRONZE.png"
14,1,Indigo,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/INDIGO.png"
15,1,Lilac,"https://abra-static-storage-develop.s3.eu-central-1.amazonaws.com/colors/LILAC.png"
16,2,2XS,""
17,2,XS,""
18,2,S,""
19,2,M,""
20,2,L,""
21,2,XL,""
22,2,2XL,""
23,2,3XL,""
24,2,4XL,""
25,2,5XL,""
26,2,6XL,""
493,3,2XS,""
50,3,XS,""
51,3,S,""
52,3,M,""
53,3,L,""
54,3,XL,""
55,3,2XL,""
56,3,3XL,""
57,3,4XL,""
58,3,5XL,""
59,3,6XL,""
82,4,Baby,""
83,4,0-3,""
84,4,0-3,""
85,4,3-6,""
86,4,6-9,""
87,4,12,""
88,4,18,""
103,5,24/2Т,""
104,5,3Т,""
105,5,4Т,""
106,5,5,""
107,5,6,""
108,5,6x,""
109,5,7,""
110,5,7,""
111,5,8,""
112,5,10,""
113,5,12,""
114,5,14,""
