id,product_id,variation_value_id
1,1,21
2,1,20
3,1,11
4,1,12
5,1,3
6,2,4
7,2,2
8,2,14
9,2,5
10,2,12
11,2,20
12,2,17
13,2,3
14,2,22
15,3,16
16,3,15
17,3,13
18,3,2
19,3,1
20,3,3
21,4,8
22,4,2
23,4,15
24,4,11
25,4,3
26,4,13
27,5,2
28,5,14
29,5,26
30,5,5
31,5,4
32,6,14
33,6,8
34,6,6
35,6,2
36,6,19
37,7,13
38,7,4
39,7,20
40,7,5
41,7,14
42,7,16
43,7,24
44,7,12
45,7,25
46,8,24
47,8,25
48,8,20
49,8,14
50,8,15
51,8,10
52,8,1
53,8,4
54,9,17
55,9,24
56,9,19
57,9,8
58,9,16
59,9,1
60,9,7
61,10,4
62,10,17
63,10,11
64,10,3
65,10,20
66,10,8
67,10,6
68,10,12
69,11,22
70,11,8
71,11,20
72,11,13
73,11,23
74,11,4
75,11,21
76,11,10
77,11,12
78,12,8
79,12,2
80,12,13
81,12,11
82,12,10
83,12,15
84,12,26
85,13,1
86,13,26
87,13,13
88,13,7
89,13,6
90,13,9
91,13,17
92,13,25
93,13,20
94,13,4
95,14,2
96,14,14
97,14,13
98,14,25
99,14,24
100,14,9
101,14,18
102,14,17
103,14,8
104,14,7
105,15,2
106,15,14
107,15,19
108,15,5
109,15,21
110,15,7
111,16,20
112,16,9
113,16,2
114,16,16
115,16,18
116,16,4
117,16,14
118,17,25
119,17,6
120,17,20
121,17,1
122,17,4
123,17,8
124,17,12
125,17,23
126,18,8
127,18,18
128,18,19
129,18,20
130,18,14
131,18,25
132,18,24
133,18,5
134,18,3
135,19,12
136,19,1
137,19,19
138,19,15
139,19,17
140,20,20
141,20,1
142,20,12
143,20,22
144,20,18
145,20,5
146,21,19
147,21,25
148,21,13
149,21,2
150,21,5
151,21,9
152,21,22
153,21,3
154,21,1
155,21,10
156,22,13
157,22,14
158,22,18
159,22,6
160,22,22
161,22,17
162,22,20
163,22,2
164,22,23
165,22,12
166,23,13
167,23,24
168,23,14
169,23,17
170,23,18
171,23,5
172,23,25
173,24,24
174,24,18
175,24,22
176,24,17
177,24,25
178,24,12
179,24,8
180,25,13
181,25,2
182,25,9
183,25,26
184,25,14
185,25,25
186,25,18
187,25,11
188,26,15
189,26,25
190,26,6
191,26,21
192,26,19
193,26,12
194,26,5
195,27,19
196,27,4
197,27,10
198,27,24
199,27,22
200,27,18
201,27,5
202,27,26
203,28,23
204,28,22
205,28,12
206,28,14
207,28,11
208,28,18
209,28,1
210,29,16
211,29,4
212,29,22
213,29,19
214,29,21
215,30,11
216,30,9
217,30,23
218,30,1
219,30,14
220,30,5
221,30,17
222,30,13
223,30,18
224,30,16
225,31,25
226,31,8
227,31,9
228,31,15
229,31,6
230,31,10
231,31,20
232,32,17
233,32,16
234,32,13
235,32,19
236,32,3
237,32,1
238,32,26
239,32,18
240,32,24
241,32,12
242,33,15
243,33,9
244,33,8
245,33,1
246,33,19
247,33,22
248,33,25
249,33,26
250,33,21
251,33,5
252,34,24
253,34,22
254,34,17
255,34,5
256,34,12
257,34,10
258,34,15
259,34,9
260,35,12
261,35,5
262,35,10
263,35,16
264,35,7
265,35,11
266,35,26
267,36,17
268,36,6
269,36,26
270,36,8
271,36,24
272,36,5
273,36,7
274,36,9
275,36,22
276,37,22
277,37,19
278,37,16
279,37,20
280,37,10
281,37,8
282,37,23
283,37,9
284,37,14
285,37,25
286,38,6
287,38,19
288,38,17
289,38,25
290,38,20
291,38,5
292,38,8
293,38,24
294,39,10
295,39,13
296,39,5
297,39,12
298,39,25
299,40,9
300,40,10
301,40,13
302,40,25
303,40,23
304,40,24
305,40,18
306,41,25
307,41,14
308,41,18
309,41,11
310,41,24
311,41,17
312,41,1
313,41,22
314,42,7
315,42,19
316,42,13
317,42,4
318,42,6
319,42,15
320,42,1
321,42,12
322,43,11
323,43,18
324,43,8
325,43,17
326,43,25
327,43,9
328,44,8
329,44,6
330,44,1
331,44,9
332,44,7
333,44,5
334,45,8
335,45,6
336,45,19
337,45,26
338,45,12
339,45,1
340,45,9
341,45,4
342,45,14
343,45,5
344,46,56
345,46,3
346,46,50
347,46,55
348,46,54
349,47,53
350,47,3
351,47,13
352,47,58
353,47,493
354,47,14
355,48,493
356,48,12
357,48,8
358,48,55
359,48,7
360,48,5
361,48,6
362,49,52
363,49,2
364,49,58
365,49,1
366,49,6
367,49,13
368,49,57
369,50,2
370,50,58
371,50,56
372,50,7
373,50,8
374,50,4
375,50,52
376,50,50
377,50,15
378,50,55
379,51,4
380,51,9
381,51,14
382,51,493
383,51,53
384,51,15
385,51,54
386,51,59
387,51,56
388,52,7
389,52,2
390,52,52
391,52,8
392,52,15
393,52,53
394,52,57
395,52,14
396,52,5
397,53,4
398,53,13
399,53,10
400,53,9
401,53,11
402,53,12
403,53,5
404,53,58
405,54,51
406,54,1
407,54,58
408,54,52
409,54,10
410,55,58
411,55,3
412,55,7
413,55,11
414,55,2
415,55,53
416,56,8
417,56,3
418,56,12
419,56,5
420,56,52
421,56,1
422,56,51
423,57,1
424,57,54
425,57,4
426,57,55
427,57,59
428,57,58
429,57,15
430,57,56
431,57,493
432,58,10
433,58,59
434,58,493
435,58,12
436,58,53
437,58,58
438,59,54
439,59,58
440,59,55
441,59,1
442,59,6
443,59,5
444,59,56
445,59,15
446,60,1
447,60,50
448,60,3
449,60,51
450,60,55
451,60,4
452,60,493
453,60,52
454,60,54
455,61,4
456,61,11
457,61,6
458,61,13
459,61,55
460,61,53
461,62,55
462,62,12
463,62,54
464,62,5
465,62,58
466,62,51
467,62,57
468,62,3
469,62,56
470,63,51
471,63,53
472,63,493
473,63,11
474,63,57
475,64,7
476,64,12
477,64,8
478,64,2
479,64,5
480,64,54
481,64,52
482,64,59
483,64,4
484,64,1
485,65,15
486,65,5
487,65,54
488,65,55
489,65,14
490,65,52
491,65,50
492,65,13
493,65,4
494,66,52
495,66,50
496,66,3
497,66,7
498,66,55
499,66,15
500,66,12
501,66,4
502,66,53
503,66,56
504,67,12
505,67,13
506,67,8
507,67,6
508,67,57
509,67,14
510,67,50
511,68,10
512,68,55
513,68,7
514,68,5
515,68,53
516,68,12
517,68,2
518,68,8
519,68,58
520,68,59
521,69,55
522,69,4
523,69,52
524,69,3
525,69,15
526,70,5
527,70,14
528,70,55
529,70,13
530,70,493
531,70,57
532,70,11
533,70,58
534,70,2
535,70,7
536,71,1
537,71,53
538,71,51
539,71,15
540,71,2
541,71,4
542,72,13
543,72,1
544,72,57
545,72,2
546,72,4
547,72,5
548,72,11
549,73,54
550,73,55
551,73,11
552,73,14
553,73,10
554,73,12
555,74,58
556,74,56
557,74,54
558,74,9
559,74,1
560,75,12
561,75,15
562,75,55
563,75,50
564,75,14
565,75,57
566,75,59
567,76,13
568,76,10
569,76,58
570,76,8
571,76,14
572,76,15
573,76,55
574,76,3
575,76,6
576,77,9
577,77,58
578,77,51
579,77,50
580,77,7
581,77,12
582,78,57
583,78,11
584,78,52
585,78,3
586,78,1
587,78,13
588,78,56
589,79,53
590,79,52
591,79,8
592,79,7
593,79,1
594,79,13
595,79,54
596,79,10
597,79,15
598,79,2
599,80,4
600,80,3
601,80,2
602,80,58
603,80,12
604,80,13
605,80,6
606,81,9
607,81,15
608,81,59
609,81,13
610,81,11
611,81,53
612,81,4
613,81,14
614,81,2
615,82,6
616,82,15
617,82,10
618,82,7
619,82,58
620,82,3
621,82,56
622,82,493
623,82,57
624,82,55
625,83,15
626,83,56
627,83,59
628,83,2
629,83,51
630,84,4
631,84,58
632,84,53
633,84,2
634,84,54
635,84,14
636,84,50
637,84,8
638,84,15
639,84,57
640,85,51
641,85,13
642,85,14
643,85,11
644,85,56
645,85,53
646,85,12
647,85,54
648,86,54
649,86,52
650,86,10
651,86,1
652,86,50
653,86,14
654,86,9
655,86,51
656,87,51
657,87,5
658,87,493
659,87,53
660,87,6
661,87,59
662,87,13
663,88,5
664,88,2
665,88,9
666,88,1
667,88,57
